key,2,3
#,LookupTable,Text
offset,8,0
int32,str,str
100,@,【語言】
101,,請使用定型文翻譯系統。
102,,日語
103,,英語
104,,法語
105,,德語
106,,你會說日語嗎？
107,,你會說英語嗎？
108,,你會說法語嗎？
109,,你會說德語嗎？
110,,我不會說英語。
111,,我不會說日語。
112,,我不會說法語。
113,,我不會說德語。
114,,請聽著。
115,,能聽見嗎？
116,,我會說一點。
117,,我能看懂一點。
118,,請用簡單的詞彙。
119,,請不要使用省略語。
120,,請稍等，我需要些時間來回覆。
121,,你的母語是什麼？
200,@,【問候語】
201,,很高興見到你。
202,,早上好！
203,,你好！
204,,晚上好！
205,,晚安！
206,,再會。
207,,今天很高興。
208,,回頭見！
209,,有時間再一起玩！
210,,我回來了！
211,,歡迎回來。
212,,恭喜！
213,,幹得好！
214,,加油！
215,,太好了！
216,,謝謝你。
217,,不客氣。
218,,多保重。
219,,對不起。
220,,請原諒我。
221,,很遺憾。
222,,打擾一下……
223,,祝你旅途愉快。
224,,我是第一次來這裡。
225,,我很期待！
226,,打得好！辛苦了！
227,,請多關照！
228,,我得走了，非常感謝各位。
229,,我們玩得輕鬆點吧！
230,,我會盡力的！
231,,一起加油吧！
232,,好好期待吧！
233,,冷靜一點吧！
300,@,【提問】
301,,誰？
302,,哪個？
303,,怎樣？
304,,什麼？
305,,什麼時候？
306,,多少？
307,,在哪？
308,,為什麼？
309,,怎麼了？
310,,我們要去哪？
311,,你可以嗎？
312,,需要幫忙嗎？
313,,我們做什麼任務？
314,,你能做什麼任務？
315,,你有嗎？
316,,現在你在使用什麼武器？
317,,你還能使用其他什麼職業？
318,,你還能擔任其他什麼職能？
319,,你設定好了嗎？
320,,用什麼戰術？
321,,我能加你為好友嗎？
322,,能休息下嗎？
323,,稍微修理一下吧？
324,,能幫我修理一下嗎？
325,,需要我幫你鑲嵌魔晶石嗎？
326,,能幫我鑲嵌下魔晶石嗎？
327,,你要加入我的小隊嗎？
328,,能把我加入你的小隊嗎？
329,,我們把小隊解散了怎麼樣？
330,,來加入我們的通訊貝嗎？
331,,能讓我加入通訊貝嗎？
332,,來加入我們的部隊嗎？
333,,能讓我加入部隊嗎？
334,,你在幹什麼？
335,,來進行卡片對局嗎？
336,,我們改變一下規則好嗎？
337,,來進行大賽對局嗎？
338,,魔力夠用嗎？
339,,有什麼不明白的地方嗎？
340,,看到了嗎？
341,,知道怎麼打嗎？
342,,能說說打法嗎？
343,,要來共同騎乘嗎？
